ID,Confidence,R.A.,Decl.,D,Teff,logg,[Fe/H],Source
1,0.617188,342.0793522,-0.883177394,6778.010124,,,,
2,0.699219,345.2789249,-0.929892306,61053.01502,,,,
3,0.705566,345.3317874,-0.877527213,69005.46193,,,,
4,0.773926,345.3029648,-0.81986488,45712.72694,,,,
5,0.840332,347.5398705,-0.927256205,35517.7782,,,,
6,0.803223,348.2355151,-1.006761155,35673.94495,,,,
7,0.688477,348.8509693,-1.02510317,65781.07776,,,,
8,0.709961,349.6989969,-0.959458026,20870.75851,,,,
9,0.897461,351.0255841,-0.910449492,28240.77804,,,,
10,0.706543,355.8606602,-0.963740207,63210.68808,,,,
11,0.913574,3.395180701,-1.001460856,31047.76626,,,,
12,0.916504,5.993518867,-0.899668207,40554.65809,,,,
13,0.868164,9.408508775,-0.877548191,,,,,
14,0.906738,10.4588986,-0.87784566,20747.59986,,,,
15,0.92627,17.4439348,-0.923953092,11144.62032,,,,
16,0.764648,22.21753393,-0.85490004,66059.71416,,,,
17,0.856934,22.86221007,-0.920072341,31767.87456,,,,
18,0.931641,25.65320459,-0.973850073,43411.03178,,,,
19,0.876953,29.91451018,-0.904356303,,,,,
20,0.942871,31.95070174,-0.989203648,31004.00886,,,,
21,0.862793,42.45207799,-1.020559126,37065.115,,,,
22,0.845215,44.26991226,-0.853009984,29539.64971,8267.3,4.578274,-1.641288,
23,0.887695,46.52072478,-0.933772887,58826.57198,,,,
24,0.850098,339.6222655,-0.410205809,61050.30154,,,,
25,0.871582,344.231948,-0.422347229,51241.92443,,,,
26,0.92334,345.5547894,-0.496075907,14281.80623,11193.7,4.52674,-1.700077,
27,0.834961,350.7587,-0.491294826,47885.88212,,,,
28,0.834961,352.2852494,-0.582336333,54018.17483,8387.567411,3.892195701,-1.854404841,
29,0.843262,352.2334875,-0.44026273,42371.78241,,,,
30,0.728027,355.5320183,-0.534820264,61226.30528,,,,
31,0.718262,5.329130116,-0.604883154,,,,,
32,0.938965,10.44332303,-0.534193444,11556.13477,,,,
33,0.950195,13.49811067,-0.515786025,19065.90258,10502.5,4.227145,-2.944021,
34,0.914551,17.13120489,-0.49151305,12623.6121,,,,
35,0.883789,20.05335046,-0.503322132,48918.98935,,,,
36,0.696777,20.83169826,-0.530357065,,,,,
37,0.904297,20.84776138,-0.543774325,32963.17097,,,,
38,0.707031,21.30499172,-0.470024046,19355.81977,7833.9,3.377492,-1.626554,N
39,0.882812,22.18716008,-0.589925149,29175.99861,,,,
40,0.682617,24.8118658,-0.610459943,,,,,
41,0.682617,24.9177388,-0.562823305,92969.36797,,,,
42,0.620605,29.31737418,-0.504118995,,,,,
43,0.878906,30.85584835,-0.478213647,48388.25595,,,,
44,0.631348,30.98146231,-0.546077842,71216.57692,,,,
45,0.881836,32.64981956,-0.565046716,42303.30112,,,,
46,0.742188,47.08858563,-0.534065064,58370.50042,,,,
47,0.742188,340.1603341,-0.201836448,72367.42827,,,,
48,0.948242,347.2977078,-0.075959087,15144.11497,,,,
49,0.605469,352.6036599,-0.15968856,7852.122606,12677.8,4.769447,-0.884752,
