B_ID,Confidence,R.A.,Decl.,Distance,T_eff
1,0.617188,342.0793522,-0.883177394,6.080173889,8032.902771
2,0.699219,345.2789249,-0.929892306,54.12650685,7751.22923
3,0.705566,345.3317874,-0.877527213,62.75610775,8444.114107
4,0.773926,345.3029648,-0.81986488,50.61345683,-9999
5,0.840332,347.5398705,-0.927256205,32.97053543,8657.840197
6,0.803223,348.2355151,-1.006761155,31.92508042,8044.933715
7,0.688477,348.8509693,-1.02510317,66.04318357,-9999
8,0.709961,349.6989969,-0.959458026,18.49694478,7626.283727
9,0.897461,351.0255841,-0.910449492,25.1822192,7953.862903
10,0.706543,355.8606602,-0.963740207,61.12346982,-9999
11,0.913574,3.395180701,-1.001460856,29.02110871,8779.800408
12,0.916504,5.993518867,-0.899668207,36.83816595,8346.323591
13,0.868164,9.408508775,-0.877548191,39.99189652,-9999
14,0.906738,10.4588986,-0.87784566,18.66319527,7044.321522
15,0.92627,17.4439348,-0.923953092,10.15518875,8488.078748
16,0.764648,22.21753393,-0.85490004,59.21721792,7991.65511
17,0.856934,22.86221007,-0.920072341,28.23267313,7734.364798
18,0.931641,25.65320459,-0.973850073,39.08318965,8218.277597
19,0.876953,29.91451018,-0.904356303,31.89143049,-9999
20,0.942871,31.95070174,-0.989203648,28.39409297,8705.898445
21,0.862793,42.45207799,-1.020559126,33.01398883,7987.673334
22,0.845215,44.26991226,-0.853009984,26.65446685,8194.016083
23,0.887695,46.52072478,-0.933772887,54.90526601,8826.672001
24,0.850098,339.6222655,-0.410205809,55.37018824,8556.787489
25,0.871582,344.231948,-0.422347229,47.74677027,-9999
26,0.92334,345.5547894,-0.496075907,14.06870101,-9999
27,0.834961,350.7587,-0.491294826,43.60075403,8156.497079
28,0.834961,352.2852494,-0.582336333,49.3107945,-9999
29,0.843262,352.2334875,-0.44026273,42.40997339,-9999
30,0.728027,355.5320183,-0.534820264,54.41066076,7740.398986
31,0.718262,5.329130116,-0.604883154,-9999,-9999
32,0.938965,10.44332303,-0.534193444,10.39747776,8201.689349
33,0.950195,13.49811067,-0.515786025,17.61651508,8640.10767
34,0.914551,17.13120489,-0.49151305,11.71412894,8770.58584
35,0.883789,20.05335046,-0.503322132,45.53737583,8490.321761
36,0.696777,20.83169826,-0.530357065,-9999,-9999
37,0.904297,20.84776138,-0.543774325,30.38771188,8572.885559
38,0.707031,21.30499172,-0.470024046,17.46465456,8160.435232
39,0.882812,22.18716008,-0.589925149,27.27206354,-9999
40,0.682617,24.8118658,-0.610459943,-9999,-9999
41,0.682617,24.9177388,-0.562823305,83.3815569,8148.14317
42,0.620605,29.31737418,-0.504118995,71.94456648,-9999
43,0.878906,30.85584835,-0.478213647,44.38313752,8650.299072
44,0.631348,30.98146231,-0.546077842,63.38376022,7700.441477
45,0.881836,32.64981956,-0.565046716,38.04783942,8363.290721
46,0.742188,47.08858563,-0.534065064,52.54555699,8455.47745
47,0.742188,340.1603341,-0.201836448,65.50825034,8343.801468
48,0.948242,347.2977078,-0.075959087,15.00334169,-9999
49,0.605469,352.6036599,-0.15968856,6.960909701,7546.273684
50,0.823242,357.2928617,-0.005717545,32.04497964,7205.617612
51,0.702148,3.128406347,-0.199465613,63.64730219,-9999
52,0.922852,11.66924343,-0.019684853,24.72042881,8693.535924
53,0.891602,17.25740279,-0.186878409,8.002247878,-9999
54,0.858398,32.32231194,-0.132008033,54.57855082,8326.747663
55,0.809082,32.47000514,-0.112226247,31.87307759,7851.911805
56,0.891113,41.57964102,-0.168064479,46.91178951,8416.743983
57,0.702637,336.4652351,0.277148215,37.17748439,8195.63878
58,0.924805,336.5103362,0.261001934,20.12454175,8545.316134
59,0.924316,338.1742209,0.315118216,47.77690361,8830.126799
60,0.937012,340.5178152,0.260247601,13.80015613,8165.46738
61,0.914062,347.6915232,0.302813708,19.05197487,-9999
62,0.872559,352.6928187,0.398872151,31.79303587,-9999
63,0.939453,353.6909062,0.286616055,27.2064577,8219.6184
64,0.864746,356.7887939,0.316201285,42.99599463,-9999
65,0.935547,356.7041193,0.269215442,15.48067881,8511.766669
66,0.935059,357.9403192,0.28574752,16.68307107,8283.33428
67,0.894531,3.886546758,0.330973154,8.843985055,8887.095985
68,0.938477,19.4447128,0.297891721,28.0434861,8814.279767
69,0.830078,22.26548877,0.386163992,68.62241533,-9999
70,0.851074,22.78157566,0.383930118,48.72322201,8586.058994
71,0.84668,27.7454755,0.424155955,26.24339396,8405.3857
72,0.890137,34.6141355,0.302500501,61.97492359,8164.810688
73,0.797363,38.55176251,0.372389358,37.08668367,8571.08744
74,0.74707,41.19406301,0.25848011,69.70854212,8385.136567
75,0.825684,46.9855237,0.352073208,53.61323338,-9999
76,0.811523,47.6508531,0.37471432,39.58603461,8422.09498
77,0.673828,54.55149444,0.340112362,5.583236185,8532.085673
78,0.913574,347.4281957,0.670193199,7.92147398,-9999
79,0.835938,353.456166,0.66330781,52.92075117,8452.893237
80,0.850098,354.910504,0.75908008,6.541238738,8553.294044
81,0.744629,356.4796918,0.83968894,34.28798787,7785.11537
82,0.907715,358.9422084,0.830998886,46.20808815,7952.128357
83,0.735352,2.858647064,0.657269992,70.95320213,-9999
84,0.749023,2.897136681,0.637699984,50.72616149,8638.705239
85,0.770508,9.76072454,0.80580201,40.52621088,8459.482083
